name,id,class,mass,fall,year,reclat,reclong
Aachen,1,L5,21.0,Fell,1880,50.775,6.08333
Aarhus,2,H6,720.0,Fell,1951,56.18333,10.23333
Abee,6,EH4,107000.0,Fell,1952,54.21667,-113.0
Acapulco,10,Acapulcoite,1914.0,Fell,1976,16.88333,-99.9
Achiras,370,L6,780.0,Fell,1902,-33.16667,-64.95
Adhi Kot,379,EH4,4239.0,Fell,1919,32.1,71.8
Adzhi-Bogdo (stone),390,LL3-6,910.0,Fell,1949,44.83333,95.16667
Agen,392,H5,30000.0,Fell,1814,44.21667,0.61667
Aguada,398,L6,1620.0,Fell,1930,-31.6,-65.23333
Aguila Blanca,417,L,1440.0,Fell,1920,-30.86667,-64.55
Aioun el Atrouss,423,Diogenite-pm,1000.0,Fell,1974,16.39806,-9.57028
Aïr,424,L6,24000.0,Fell,1925,19.08333,8.38333
Aire-sur-la-Lys,425,Unknown,,Fell,1769,50.66667,2.33333
Akaba,426,L6,779.0,Fell,1949,29.51667,35.05
Akbarpur,427,H4,1800.0,Fell,1838,29.71667,77.95
Akwanga,432,H,3000.0,Fell,1959,8.91667,8.43333
Akyumak,433,"Iron, IVA",50000.0,Fell,1981,39.91667,42.81667
Al Rais,446,CR2-an,160.0,Fell,1957,24.41667,39.51667
Al Zarnkh,447,LL5,700.0,Fell,2001,13.66033,28.96
Alais,448,CI1,6000.0,Fell,1806,44.11667,4.08333
Albareto,453,L/LL4,2000.0,Fell,1766,44.65,11.01667
Alberta,454,L,625.0,Fell,1949,2.0,22.66667
Alby sur Chéran,458,Eucrite-mmict,252.0,Fell,2002,45.82133,6.01533
Aldsworth,461,LL5,700.0,Fell,1835,51.78333,-1.78333
Aleppo,462,L6,3200.0,Fell,1873,36.23333,37.13333
Alessandria,463,H5,908.0,Fell,1860,44.88333,8.75
Alexandrovsky,465,H4,9251.0,Fell,1900,50.95,31.81667
Alfianello,466,L6,228000.0,Fell,1883,45.26667,10.15
Allegan,2276,H5,32000.0,Fell,1899,42.53333,-85.88333
Allende,2278,CV3,2000000.0,Fell,1969,26.96667,-105.31667
Almahata Sitta,48915,Ureilite-an,3950.0,Fell,2008,20.74575,32.41275
Alta'ameem,2284,LL5,6000.0,Fell,1977,35.27333,44.21556
Ambapur Nagla,2290,H5,6400.0,Fell,1895,27.66667,78.25
Andhara,2294,Stone-uncl,2700.0,Fell,1880,26.58333,85.56667
Andover,2295,L6,3200.0,Fell,1898,44.61667,-70.75
Andreevka,2296,L3,600.0,Fell,1969,48.7,37.5
Andura,2298,H6,17900.0,Fell,1939,20.88333,76.86667
Angers,2301,L6,,Fell,1822,47.46667,-0.55
Angra dos Reis (stone),2302,Angrite,1500.0,Fell,1869,-22.96667,-44.31667
Ankober,2304,H4,6500.0,Fell,1942,9.53333,39.71667
Anlong,2305,H5,2500.0,Fell,1971,25.15,105.18333
Aomori,2313,L6,320.0,Fell,1984,40.81056,140.78556
Appley Bridge,2318,LL6,15000.0,Fell,1914,53.58333,-2.71667
Apt,2320,L6,3200.0,Fell,1803,43.86667,5.38333
Arbol Solo,2325,H5,810.0,Fell,1954,-33.0,-66.0
Archie,2329,H6,5070.0,Fell,1932,38.5,-94.3
Arroyo Aguiar,2340,H5,7450.0,Fell,1950,-31.41667,-60.66667
