,Unnamed: 0,Unnamed: 0.1,Volcano Name,Eruption Category,VEI,year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date,VEIsize
0,0,0,Kilauea,Confirmed Eruption,2.0,2021,9,29,Historical Observations,2021,10,14,19.421,-155.287,0.0,2021/9/29,2021/10/14,5.0
1,1,1,La Palma,Confirmed Eruption,2.0,2021,9,19,Historical Observations,2021,10,14,28.57,-17.83,0.0,2021/9/19,2021/10/14,5.0
2,2,2,Nishinoshima,Confirmed Eruption,2.0,2021,8,14,Historical Observations,2021,8,14,27.247,140.874,0.0,2021/8/14,2021/8/14,5.0
3,3,3,Fukutoku-Oka-no-Ba,Confirmed Eruption,2.0,2021,8,13,Historical Observations,2021,9,12,24.285,141.481,0.0,2021/8/13,2021/9/12,5.0
4,4,4,Chirinkotan,Confirmed Eruption,2.0,2021,8,8,Historical Observations,2021,8,24,48.98,153.48,0.0,2021/8/8,2021/8/24,5.0
5,5,5,Pavlof,Confirmed Eruption,2.0,2021,8,5,Historical Observations,2021,10,14,55.417,-161.894,0.0,2021/8/5,2021/10/14,5.0
6,6,6,Pagan,Confirmed Eruption,2.0,2021,7,29,Historical Observations,2021,9,6,18.13,145.8,0.0,2021/7/29,2021/9/6,5.0
7,7,7,Ulawun,Confirmed Eruption,2.0,2021,7,29,Historical Observations,2021,8,3,-5.05,151.33,0.0,2021/7/29,2021/8/3,5.0
8,8,8,Sirung,Confirmed Eruption,2.0,2021,7,21,Historical Observations,2021,7,21,-8.508,124.13,0.0,2021/7/21,2021/7/21,5.0
9,9,9,Copahue,Confirmed Eruption,2.0,2021,7,2,Historical Observations,2021,10,12,-37.856,-71.183,0.0,2021/7/2,2021/10/12,5.0
10,10,10,Taal,Confirmed Eruption,2.0,2021,7,1,Historical Observations,2021,7,9,14.002,120.993,0.0,2021/7/1,2021/7/9,5.0
11,11,11,Rincon de la Vieja,Confirmed Eruption,2.0,2021,6,28,Historical Observations,2021,10,14,10.83,-85.324,0.0,2021/6/28,2021/10/14,5.0
12,12,12,Turrialba,Confirmed Eruption,2.0,2021,6,13,Historical Observations,2021,7,23,10.025,-83.767,0.0,2021/6/13,2021/7/23,5.0
13,13,13,Great Sitkin,Confirmed Eruption,2.0,2021,5,25,Historical Observations,2021,10,14,52.076,-176.13,0.0,2021/5/25,2021/10/14,5.0
14,14,14,Telica,Confirmed Eruption,2.0,2021,5,22,Historical Observations,2021,10,14,12.606,-86.84,0.0,2021/5/22,2021/10/14,5.0
15,15,15,Dieng Volcanic Complex,Confirmed Eruption,2.0,2021,4,29,Historical Observations,2021,4,29,-7.2,109.879,0.0,2021/4/29,2021/4/29,5.0
16,16,16,Tengger Caldera,Confirmed Eruption,2.0,2021,4,15,Historical Observations,2021,10,14,-7.942,112.95,0.0,2021/4/15,2021/10/14,5.0
17,17,17,"Fournaise, Piton de la",Confirmed Eruption,2.0,2021,4,9,Historical Observations,2021,5,24,-21.244,55.708,0.0,2021/4/9,2021/5/24,5.0
18,18,18,Krysuvik-Trolladyngja,Confirmed Eruption,2.0,2021,3,19,Historical Observations,2021,9,18,63.917,-22.067,0.0,2021/3/19,2021/9/18,5.0
19,19,19,Veniaminof,Confirmed Eruption,2.0,2021,2,28,Historical Observations,2021,4,5,56.17,-159.38,0.0,2021/2/28,2021/4/5,5.0
20,20,20,Semisopochnoi,Confirmed Eruption,2.0,2021,2,2,Historical Observations,2021,10,14,51.93,179.58,0.0,2021/2/2,2021/10/14,5.0
21,21,21,Raung,Confirmed Eruption,2.0,2021,1,21,Historical Observations,2021,4,14,-8.119,114.056,0.0,2021/1/21,2021/4/14,5.0
22,22,22,Merapi,Confirmed Eruption,1.0,2020,12,31,Historical Observations,2021,10,14,-7.54,110.446,1.0,2020/12/31,2021/10/14,2.0
23,23,23,Soufriere St. Vincent,Confirmed Eruption,4.0,2020,12,27,Historical Observations,2021,4,22,13.33,-61.18,1.0,2020/12/27,2021/4/22,17.0
24,24,24,San Cristobal,Confirmed Eruption,3.0,2020,12,27,Historical Observations,2021,10,3,12.702,-87.004,1.0,2020/12/27,2021/10/3,10.0
25,25,25,Tengger Caldera,Confirmed Eruption,1.0,2020,12,26,Historical Observations,2020,12,28,-7.942,112.95,0.0,2020/12/26,2020/12/28,2.0
26,26,26,Kilauea,Confirmed Eruption,0.0,2020,12,20,Historical Observations,2021,5,23,19.421,-155.287,1.0,2020/12/20,2021/5/23,1.0
27,27,27,"Fournaise, Piton de la",Confirmed Eruption,0.0,2020,12,7,Historical Observations,2020,12,8,-21.244,55.708,0.0,2020/12/7,2020/12/8,1.0
28,28,28,Lewotolok,Confirmed Eruption,2.0,2020,11,27,Historical Observations,2021,10,14,-8.274,123.508,1.0,2020/11/27,2021/10/14,5.0
29,29,29,Kikai,Confirmed Eruption,1.0,2020,10,6,Historical Observations,2020,10,6,30.793,130.305,0.0,2020/10/6,2020/10/6,2.0
30,30,30,Kavachi,Confirmed Eruption,0.0,2020,9,2,Historical Observations,2021,4,10,-8.991,157.979,1.0,2020/9/2,2021/4/10,1.0
31,31,31,Kuchinoerabujima,Confirmed Eruption,1.0,2020,8,29,Historical Observations,2020,8,29,30.443,130.217,0.0,2020/8/29,2020/8/29,2.0
32,32,32,Sinabung,Confirmed Eruption,3.0,2020,8,8,Historical Observations,2021,10,14,3.17,98.392,1.0,2020/8/8,2021/10/14,10.0
33,33,33,Telica,Confirmed Eruption,1.0,2020,7,20,Historical Observations,2020,12,9,12.606,-86.84,0.0,2020/7/20,2020/12/9,2.0
34,34,34,Raung,Confirmed Eruption,1.0,2020,7,16,Historical Observations,2020,10,3,-8.119,114.056,0.0,2020/7/16,2020/10/3,2.0
35,35,35,Turrialba,Confirmed Eruption,1.0,2020,6,18,Historical Observations,2020,8,24,10.025,-83.767,0.0,2020/6/18,2020/8/24,2.0
36,36,36,Copahue,Confirmed Eruption,2.0,2020,6,16,Historical Observations,2020,10,19,-37.856,-71.183,0.0,2020/6/16,2020/10/19,5.0
37,37,37,Cleveland,Confirmed Eruption,3.0,2020,6,1,Historical Observations,2020,6,1,52.825,-169.944,0.0,2020/6/1,2020/6/1,10.0
38,38,38,Kikai,Confirmed Eruption,1.0,2020,4,29,Historical Observations,2020,4,29,30.793,130.305,0.0,2020/4/29,2020/4/29,2.0
39,39,39,Karymsky,Confirmed Eruption,3.0,2020,4,1,Historical Observations,2021,10,14,54.049,159.443,1.0,2020/4/1,2021/10/14,10.0
40,40,40,Soputan,Confirmed Eruption,2.0,2020,3,23,Historical Observations,2020,4,2,1.112,124.737,0.0,2020/3/23,2020/4/2,5.0
41,41,41,Kavachi,Confirmed Eruption,0.0,2020,3,16,Historical Observations,2020,4,30,-8.991,157.979,0.0,2020/3/16,2020/4/30,1.0
42,42,42,Sarychev Peak,Confirmed Eruption,1.0,2020,2,29,Historical Observations,2021,9,30,48.092,153.2,1.0,2020/2/29,2021/9/30,2.0
43,43,43,San Miguel,Confirmed Eruption,1.0,2020,2,22,Historical Observations,2020,2,22,13.434,-88.269,0.0,2020/2/22,2020/2/22,2.0
44,44,44,"Fournaise, Piton de la",Confirmed Eruption,0.0,2020,2,10,Historical Observations,2020,4,6,-21.244,55.708,0.0,2020/2/10,2020/4/6,1.0
45,45,45,Rincon de la Vieja,Confirmed Eruption,2.0,2020,1,30,Historical Observations,2020,12,13,10.83,-85.324,0.0,2020/1/30,2020/12/13,5.0
46,46,46,Fernandina,Confirmed Eruption,0.0,2020,1,12,Historical Observations,2020,1,13,-0.37,-91.55,0.0,2020/1/12,2020/1/13,1.0
47,47,47,Taal,Confirmed Eruption,4.0,2020,1,12,Historical Observations,2020,1,22,14.002,120.993,0.0,2020/1/12,2020/1/22,17.0
48,48,48,Kuchinoerabujima,Confirmed Eruption,3.0,2020,1,11,Historical Observations,2020,5,13,30.443,130.217,0.0,2020/1/11,2020/5/13,10.0
49,49,49,Whakaari/White Island,Confirmed Eruption,2.0,2019,12,9,Historical Observations,2019,12,9,-37.52,177.18,0.0,2019/12/9,2019/12/9,5.0
50,50,50,Semisopochnoi,Confirmed Eruption,1.0,2019,12,7,Historical Observations,2020,6,19,51.93,179.58,1.0,2019/12/7,2020/6/19,2.0
51,51,51,Nishinoshima,Confirmed Eruption,1.0,2019,12,5,Historical Observations,2020,8,27,27.247,140.874,1.0,2019/12/5,2020/8/27,2.0
52,52,52,Cleveland,Uncertain Eruption,2.0,2019,11,7,Historical Observations,2019,12,7,52.825,-169.944,0.0,2019/11/7,2019/12/7,5.0
53,53,53,Kikai,Confirmed Eruption,2.0,2019,11,2,Historical Observations,2019,11,2,30.793,130.305,0.0,2019/11/2,2019/11/2,5.0
54,54,54,Lateiki,Confirmed Eruption,1.0,2019,10,13,Historical Observations,2019,10,22,-19.18,-174.87,0.0,2019/10/13,2019/10/22,2.0
55,55,55,Asamayama,Confirmed Eruption,2.0,2019,8,7,Historical Observations,2019,8,25,36.406,138.523,0.0,2019/8/7,2019/8/25,5.0
56,56,56,Copahue,Confirmed Eruption,2.0,2019,8,2,Historical Observations,2019,11,12,-37.856,-71.183,0.0,2019/8/2,2019/11/12,5.0
57,57,57,Tangkuban Parahu,Confirmed Eruption,1.0,2019,7,26,Historical Observations,2019,9,17,-6.77,107.6,0.0,2019/7/26,2019/9/17,2.0
58,58,58,Shishaldin,Confirmed Eruption,3.0,2019,7,23,Historical Observations,2020,5,4,54.756,-163.97,1.0,2019/7/23,2020/5/4,10.0
59,59,59,Semisopochnoi,Confirmed Eruption,1.0,2019,7,16,Historical Observations,2019,8,24,51.93,179.58,0.0,2019/7/16,2019/8/24,2.0
60,60,60,Ulawun,Confirmed Eruption,4.0,2019,6,26,Historical Observations,2019,10,5,-5.05,151.33,0.0,2019/6/26,2019/10/5,17.0
61,61,61,Ubinas,Confirmed Eruption,2.0,2019,6,24,Historical Observations,2019,9,12,-16.355,-70.903,0.0,2019/6/24,2019/9/12,5.0
62,62,62,Raikoke,Confirmed Eruption,3.0,2019,6,22,Historical Observations,2019,7,1,48.292,153.25,0.0,2019/6/22,2019/7/1,10.0
63,63,63,"Fournaise, Piton de la",Confirmed Eruption,0.0,2019,6,11,Historical Observations,2019,10,27,-21.244,55.708,0.0,2019/6/11,2019/10/27,1.0
64,64,64,Great Sitkin,Confirmed Eruption,1.0,2019,6,1,Historical Observations,2019,6,7,52.076,-176.13,0.0,2019/6/1,2019/6/7,2.0
65,65,65,Sarychev Peak,Confirmed Eruption,2.0,2019,5,16,Historical Observations,2019,10,7,48.092,153.2,0.0,2019/5/16,2019/10/7,5.0
66,66,66,Colima,Confirmed Eruption,1.0,2019,5,11,Historical Observations,2019,7,12,19.514,-103.62,0.0,2019/5/11,2019/7/12,2.0
67,67,67,Asosan,Confirmed Eruption,2.0,2019,4,16,Historical Observations,2020,6,16,32.884,131.104,1.0,2019/4/16,2020/6/16,5.0
68,68,68,Klyuchevskoy,Confirmed Eruption,2.0,2019,4,9,Historical Observations,2021,3,20,56.056,160.642,2.0,2019/4/9,2021/3/20,5.0
69,69,69,Sangay,Confirmed Eruption,2.0,2019,3,26,Historical Observations,2021,10,14,-2.005,-78.341,2.0,2019/3/26,2021/10/14,5.0
70,70,70,San Cristobal,Confirmed Eruption,1.0,2019,3,4,Historical Observations,2019,3,4,12.702,-87.004,0.0,2019/3/4,2019/3/4,2.0
71,71,71,"Fournaise, Piton de la",Confirmed Eruption,0.0,2019,2,18,Historical Observations,2019,3,10,-21.244,55.708,0.0,2019/2/18,2019/3/10,1.0
72,72,72,Tengger Caldera,Confirmed Eruption,2.0,2019,2,18,Historical Observations,2019,7,28,-7.942,112.95,0.0,2019/2/18,2019/7/28,5.0
73,73,73,Karymsky,Confirmed Eruption,2.0,2019,2,16,Historical Observations,2019,9,24,54.049,159.443,0.0,2019/2/16,2019/9/24,5.0
74,74,74,Poas,Confirmed Eruption,2.0,2019,2,7,Historical Observations,2019,9,30,10.2,-84.233,0.0,2019/2/7,2019/9/30,5.0
75,75,75,Sinabung,Confirmed Eruption,4.0,2019,2,6,Historical Observations,2019,6,9,3.17,98.392,0.0,2019/2/6,2019/6/9,17.0
76,76,76,Tinakula,Confirmed Eruption,2.0,2018,12,8,Historical Observations,2021,10,13,-10.386,165.804,3.0,2018/12/8,2021/10/13,5.0
77,77,77,Karangetang,Confirmed Eruption,2.0,2018,11,25,Historical Observations,2021,10,15,2.781,125.407,3.0,2018/11/25,2021/10/15,5.0
78,78,78,Planchon-Peteroa,Confirmed Eruption,1.0,2018,11,7,Historical Observations,2019,5,7,-35.223,-70.568,1.0,2018/11/7,2019/5/7,2.0
