,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date
0,Kilauea,Confirmed Eruption,VEI Unknown,2021,9,29,Historical Observations,2021,10,14,19.421,-155.287,0.0,2021/9/29,2021/10/14
1,La Palma,Confirmed Eruption,VEI Unknown,2021,9,19,Historical Observations,2021,10,14,28.57,-17.83,0.0,2021/9/19,2021/10/14
2,Nishinoshima,Confirmed Eruption,VEI Unknown,2021,8,14,Historical Observations,2021,8,14,27.247,140.874,0.0,2021/8/14,2021/8/14
3,Fukutoku-Oka-no-Ba,Confirmed Eruption,VEI Unknown,2021,8,13,Historical Observations,2021,9,12,24.285,141.481,0.0,2021/8/13,2021/9/12
4,Chirinkotan,Confirmed Eruption,VEI Unknown,2021,8,8,Historical Observations,2021,8,24,48.98,153.48,0.0,2021/8/8,2021/8/24
5,Pavlof,Confirmed Eruption,VEI Unknown,2021,8,5,Historical Observations,2021,10,14,55.417,-161.894,0.0,2021/8/5,2021/10/14
6,Pagan,Confirmed Eruption,VEI Unknown,2021,7,29,Historical Observations,2021,9,6,18.13,145.8,0.0,2021/7/29,2021/9/6
7,Ulawun,Confirmed Eruption,VEI Unknown,2021,7,29,Historical Observations,2021,8,3,-5.05,151.33,0.0,2021/7/29,2021/8/3
8,Sirung,Confirmed Eruption,VEI Unknown,2021,7,21,Historical Observations,2021,7,21,-8.508,124.13,0.0,2021/7/21,2021/7/21
9,Copahue,Confirmed Eruption,VEI Unknown,2021,7,2,Historical Observations,2021,10,12,-37.856,-71.183,0.0,2021/7/2,2021/10/12
10,Taal,Confirmed Eruption,VEI Unknown,2021,7,1,Historical Observations,2021,7,9,14.002,120.993,0.0,2021/7/1,2021/7/9
11,Rincon de la Vieja,Confirmed Eruption,VEI Unknown,2021,6,28,Historical Observations,2021,10,14,10.83,-85.324,0.0,2021/6/28,2021/10/14
12,Turrialba,Confirmed Eruption,VEI Unknown,2021,6,13,Historical Observations,2021,7,23,10.025,-83.767,0.0,2021/6/13,2021/7/23
13,Great Sitkin,Confirmed Eruption,VEI Unknown,2021,5,25,Historical Observations,2021,10,14,52.076,-176.13,0.0,2021/5/25,2021/10/14
14,Telica,Confirmed Eruption,VEI Unknown,2021,5,22,Historical Observations,2021,10,14,12.606,-86.84,0.0,2021/5/22,2021/10/14
15,Dieng Volcanic Complex,Confirmed Eruption,VEI Unknown,2021,4,29,Historical Observations,2021,4,29,-7.2,109.879,0.0,2021/4/29,2021/4/29
16,Tengger Caldera,Confirmed Eruption,VEI Unknown,2021,4,15,Historical Observations,2021,10,14,-7.942,112.95,0.0,2021/4/15,2021/10/14
17,"Fournaise, Piton de la",Confirmed Eruption,VEI Unknown,2021,4,9,Historical Observations,2021,5,24,-21.244,55.708,0.0,2021/4/9,2021/5/24
