,Unnamed: 0,name,id,class,mass,fall,year,reclat,reclong,massL
0,0,Aachen,1,L5,21.0,Fell,1880,50.775,6.08333,1.0
1,1,Aarhus,2,H6,720.0,Fell,1951,56.18333,10.23333,1.0
2,2,Abee,6,EH4,107000.0,Fell,1952,54.21667,-113.0,7.0
3,3,Acapulco,10,Acapulcoite,1914.0,Fell,1976,16.88333,-99.9,1.0
4,4,Achiras,370,L6,780.0,Fell,1902,-33.16667,-64.95,1.0
5,5,Adhi Kot,379,EH4,4239.0,Fell,1919,32.1,71.8,1.0
6,6,Adzhi-Bogdo (stone),390,LL3-6,910.0,Fell,1949,44.83333,95.16667,1.0
7,7,Agen,392,H5,30000.0,Fell,1814,44.21667,0.61667,3.0
8,8,Aguada,398,L6,1620.0,Fell,1930,-31.6,-65.23333,1.0
9,9,Aguila Blanca,417,L,1440.0,Fell,1920,-30.86667,-64.55,1.0
10,10,Aioun el Atrouss,423,Diogenite-pm,1000.0,Fell,1974,16.39806,-9.57028,1.0
11,11,Aïr,424,L6,24000.0,Fell,1925,19.08333,8.38333,3.0
12,13,Akaba,426,L6,779.0,Fell,1949,29.51667,35.05,1.0
13,14,Akbarpur,427,H4,1800.0,Fell,1838,29.71667,77.95,1.0
14,15,Akwanga,432,H,3000.0,Fell,1959,8.91667,8.43333,1.0
15,16,Akyumak,433,"Iron, IVA",50000.0,Fell,1981,39.91667,42.81667,3.0
16,17,Al Rais,446,CR2-an,160.0,Fell,1957,24.41667,39.51667,1.0
17,18,Al Zarnkh,447,LL5,700.0,Fell,2001,13.66033,28.96,1.0
18,19,Alais,448,CI1,6000.0,Fell,1806,44.11667,4.08333,1.0
19,20,Albareto,453,L/LL4,2000.0,Fell,1766,44.65,11.01667,1.0
20,21,Alberta,454,L,625.0,Fell,1949,2.0,22.66667,1.0
21,22,Alby sur Chéran,458,Eucrite-mmict,252.0,Fell,2002,45.82133,6.01533,1.0
22,23,Aldsworth,461,LL5,700.0,Fell,1835,51.78333,-1.78333,1.0
23,24,Aleppo,462,L6,3200.0,Fell,1873,36.23333,37.13333,1.0
24,25,Alessandria,463,H5,908.0,Fell,1860,44.88333,8.75,1.0
25,26,Alexandrovsky,465,H4,9251.0,Fell,1900,50.95,31.81667,1.0
26,27,Alfianello,466,L6,228000.0,Fell,1883,45.26667,10.15,7.0
27,28,Allegan,2276,H5,32000.0,Fell,1899,42.53333,-85.88333,3.0
28,29,Allende,2278,CV3,2000000.0,Fell,1969,26.96667,-105.31667,10.0
29,30,Almahata Sitta,48915,Ureilite-an,3950.0,Fell,2008,20.74575,32.41275,1.0
30,31,Alta'ameem,2284,LL5,6000.0,Fell,1977,35.27333,44.21556,1.0
31,32,Ambapur Nagla,2290,H5,6400.0,Fell,1895,27.66667,78.25,1.0
32,33,Andhara,2294,Stone-uncl,2700.0,Fell,1880,26.58333,85.56667,1.0
33,34,Andover,2295,L6,3200.0,Fell,1898,44.61667,-70.75,1.0
34,35,Andreevka,2296,L3,600.0,Fell,1969,48.7,37.5,1.0
35,36,Andura,2298,H6,17900.0,Fell,1939,20.88333,76.86667,3.0
36,38,Angra dos Reis (stone),2302,Angrite,1500.0,Fell,1869,-22.96667,-44.31667,1.0
37,39,Ankober,2304,H4,6500.0,Fell,1942,9.53333,39.71667,1.0
38,40,Anlong,2305,H5,2500.0,Fell,1971,25.15,105.18333,1.0
39,41,Aomori,2313,L6,320.0,Fell,1984,40.81056,140.78556,1.0
40,42,Appley Bridge,2318,LL6,15000.0,Fell,1914,53.58333,-2.71667,3.0
41,43,Apt,2320,L6,3200.0,Fell,1803,43.86667,5.38333,1.0
42,44,Arbol Solo,2325,H5,810.0,Fell,1954,-33.0,-66.0,1.0
43,45,Archie,2329,H6,5070.0,Fell,1932,38.5,-94.3,1.0
44,46,Arroyo Aguiar,2340,H5,7450.0,Fell,1950,-31.41667,-60.66667,1.0
45,47,Asco,2345,H6,41.0,Fell,1805,42.45,9.03333,1.0
46,48,Ash Creek,48954,L6,9500.0,Fell,2009,31.805,-97.01,1.0
47,49,Ashdon,2346,L6,1300.0,Fell,1923,52.05,0.3,1.0
48,50,Assisi,2353,H5,2000.0,Fell,1886,43.03333,12.55,1.0
49,51,Atarra,4883,L4,1280.0,Fell,1920,25.25417,80.625,1.0
50,52,Atemajac,4884,L6,94.2,Fell,1896,20.06667,-103.66667,1.0
51,53,Athens,4885,LL6,265.0,Fell,1933,34.75,-87.0,1.0
52,54,Atoka,4888,L6,1384.2,Fell,1945,34.31667,-96.15,1.0
53,55,Aubres,4893,Aubrite,800.0,Fell,1836,44.38333,5.16667,1.0
54,56,Aumale,4899,L6,50000.0,Fell,1865,36.16667,3.66667,3.0
55,57,Aumieres,4900,L6,2000.0,Fell,1842,44.33333,3.23333,1.0
56,58,Ausson,4903,L5,50000.0,Fell,1858,43.08333,0.58333,3.0
57,59,Avanhandava,4905,H4,9330.0,Fell,1952,-21.46028,-49.95083,1.0
58,60,Avce,4906,"Iron, IIAB",1230.0,Fell,1908,46.0,13.5,1.0
59,61,Avilez,4907,H,146.0,Fell,1855,25.0,-103.5,1.0
60,62,Awere,4910,L4,134.0,Fell,1968,2.71667,32.83333,1.0
61,63,Aztec,4913,L6,2830.0,Fell,1938,36.8,-108.0,1.0
62,64,Bachmut,4917,L6,18000.0,Fell,1814,48.6,38.0,3.0
63,65,Bahjoi,4922,"Iron, IAB-sLL",10322.0,Fell,1934,28.48333,78.5,3.0
64,66,Bald Mountain,4925,L4,3700.0,Fell,1929,35.96667,-82.48333,1.0
65,67,Baldwyn,4926,L6,345.0,Fell,1922,34.5,-88.66667,1.0
66,68,Bali,4928,CV3,1000.0,Fell,1907,5.38333,16.38333,1.0
67,69,Ban Rong Du,4934,"Iron, ungrouped",16700.0,Fell,1993,16.66667,101.18333,3.0
68,70,Bandong,4935,LL6,11500.0,Fell,1871,-6.91667,107.6,3.0
69,71,Bansur,4936,L6,15000.0,Fell,1892,27.7,76.33333,3.0
70,72,Banswal,4937,L5,14.0,Fell,1913,30.4,78.2,1.0
71,73,Banten,4938,CM2,629.0,Fell,1933,-6.33333,106.0,1.0
72,74,Barbotan,4942,H5,6400.0,Fell,1790,43.95,-0.05,1.0
73,76,Barea,4946,Mesosiderite-A1,3200.0,Fell,1842,42.38333,-2.5,1.0
74,77,Barnaul,4947,H5,23.2,Fell,1904,52.73333,84.08333,1.0
75,78,Barntrup,4948,LL4,17.0,Fell,1886,52.0,9.1,1.0
76,79,Baroti,4949,L6,4500.0,Fell,1910,31.61667,76.8,1.0
77,80,Barwell,4954,L5,44000.0,Fell,1965,52.56528,-1.33972,3.0
78,81,Bassikounou,44876,H5,29560.0,Fell,2006,15.78333,-5.9,3.0
79,82,Baszkówka,4957,L5,15500.0,Fell,1994,52.03333,20.93583,3.0
80,83,Bath,4974,H4,21000.0,Fell,1892,45.41667,-98.31667,3.0
81,84,Bath Furnace,4975,L6,86000.0,Fell,1902,38.25,-83.75,3.0
82,85,Battle Mountain,56133,L6,2900.0,Fell,2012,40.66813,-117.18913,1.0
83,86,Bawku,4976,LL5,1557.0,Fell,1989,11.08333,-0.18333,1.0
84,87,Baxter,4977,L6,611.0,Fell,1916,36.75,-93.5,1.0
85,88,Beardsley,4984,H5,16000.0,Fell,1929,39.8,-101.2,3.0
86,89,Beaver Creek,4986,H5,14000.0,Fell,1893,51.16667,-117.33333,3.0
87,90,Beddgelert,4993,H5,794.0,Fell,1949,53.01667,-4.1,1.0
88,91,Bells,5005,C2-ung,375.0,Fell,1961,33.6,-96.46667,1.0
89,93,Benares (a),5011,LL4,3700.0,Fell,1798,25.36667,82.91667,1.0
90,94,Benguerir,30443,LL6,25000.0,Fell,2004,32.25,-8.15,3.0
91,95,Beni M'hira,5018,L6,19000.0,Fell,2001,32.86667,10.8,3.0
92,96,Benld,5021,H6,1770.5,Fell,1938,39.08333,-89.15,1.0
93,97,Benoni,5023,H6,3880.0,Fell,1943,-26.16667,28.41667,1.0
94,98,Bensour,5024,LL6,45000.0,Fell,2002,30.0,-7.0,3.0
95,99,Benton,5026,LL6,2840.0,Fell,1949,45.95,-67.55,1.0
96,100,Berduc,48975,L6,270.0,Fell,2008,-31.91,-58.32833,1.0
97,101,Béréba,5028,Eucrite-mmict,18000.0,Fell,1924,11.65,-3.65,3.0
98,102,Berlanguillas,5029,L6,1440.0,Fell,1811,41.68333,-3.8,1.0
99,103,Berthoud,47355,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325,1.0
100,104,Bethlehem,5032,H,13.9,Fell,1859,42.53333,-73.83333,1.0
101,105,Beuste,5034,L5,2000.0,Fell,1859,43.21667,-0.23333,1.0
102,106,Beyrout,5035,LL3.8,1100.0,Fell,1921,33.88333,35.5,1.0
103,107,Bhagur,5037,L6,18.0,Fell,1877,20.88333,74.83333,1.0
104,108,Bhawad,36591,LL6,678.0,Fell,2002,26.50833,73.11528,1.0
105,109,Bherai,5039,L6,100.0,Fell,1893,20.83333,71.46667,1.0
106,110,Bhola,5040,LL3-6,1047.0,Fell,1940,22.68333,90.65,1.0
107,111,Bholghati,5041,Howardite,2500.0,Fell,1905,22.08333,86.9,1.0
108,112,Bialystok,5042,Eucrite-pmict,4000.0,Fell,1827,53.1,23.2,1.0
109,113,Bielokrynitschie,5043,H4,1900.0,Fell,1887,50.13333,27.16667,1.0
110,114,Bilanga,5045,Diogenite,25000.0,Fell,1999,12.45,-0.08333,3.0
111,115,Binningup,5051,H5,488.1,Fell,1984,-33.15639,115.67639,1.0
112,116,Birni N'konni,5056,H4,560.0,Fell,1923,13.76667,5.3,1.0
113,117,Bishopville,5059,Aubrite,6000.0,Fell,1843,34.16667,-80.28333,1.0
114,118,Bishunpur,5060,LL3.15,1039.0,Fell,1895,25.38333,82.6,1.0
115,119,Bjelaja Zerkov,5063,H6,1850.0,Fell,1796,49.78333,30.16667,1.0
116,120,Bjurböle,5064,L/LL4,330000.0,Fell,1899,60.4,25.8,7.0
117,121,Black Moshannan Park,5065,L5,705.0,Fell,1941,40.91667,-78.08333,1.0
118,122,Blackwell,5068,L5,2381.0,Fell,1906,36.83333,-97.33333,1.0
119,123,Blanket,5071,L6,5100.0,Fell,1909,31.83333,-98.83333,1.0
120,124,Blansko,5072,H6,470.0,Fell,1833,49.36667,16.63333,1.0
121,125,Bloomington,5076,LL6,67.8,Fell,1938,40.48,-89.00417,1.0
122,126,Bo Xian,5090,LL3.9,7500.0,Fell,1977,33.83333,115.83333,1.0
123,127,Bocas,5093,L6,56.0,Fell,1804,23.0,-102.0,1.0
124,128,Bogou,5097,"Iron, IAB-MG",8800.0,Fell,1962,12.5,0.7,1.0
125,129,Boguslavka,5098,"Iron, IIAB",256000.0,Fell,1916,44.55,131.63333,7.0
126,130,Borgo San Donino,5110,LL6,1676.0,Fell,1808,44.86667,10.05,1.0
127,131,Bori,5111,L6,8600.0,Fell,1894,21.95,78.03333,1.0
128,132,Boriskino,5112,CM2,1342.0,Fell,1930,54.23333,52.48333,1.0
129,133,Borkut,5113,L5,7000.0,Fell,1852,48.15,24.28333,1.0
130,134,Borodino,5114,H5,500.0,Fell,1812,55.46667,35.86667,1.0
131,135,Botschetschki,5117,L4,614.0,Fell,1823,51.33333,33.88333,1.0
132,136,Boumdeid (2003),57168,L6,190.0,Fell,2003,17.71067,-11.3715,1.0
133,137,Boumdeid (2011),57167,L6,3599.0,Fell,2011,17.17493,-11.34133,1.0
134,138,Bovedy,5121,L3,5460.0,Fell,1969,54.56667,-6.33333,1.0
135,139,Bradford Woods,5128,L,762.0,Fell,1886,40.5,-80.08333,1.0
136,140,Braunau,5133,"Iron, IIAB",39000.0,Fell,1847,50.6,16.3,3.0
137,141,Breitscheid,5134,H5,1500.0,Fell,1956,50.66694,8.18361,1.0
138,142,Bremervörde,5135,H/L3.9,7250.0,Fell,1855,53.4,9.1,1.0
139,143,Brient,5140,Eucrite-pmict,219.0,Fell,1933,52.13333,59.31667,1.0
140,144,Bruderheim,5156,L6,303000.0,Fell,1960,53.9,-112.88333,7.0
141,145,Bukhara,30448,CV3,5300.0,Fell,2001,39.77978,64.60035,1.0
142,146,Bunburra Rockhole,48653,Eucrite,324.0,Fell,2007,-31.35,129.19,1.0
143,147,Bununu,5165,Howardite,357.0,Fell,1942,10.01667,9.58333,1.0
144,148,Bur-Gheluai,5169,H5,120000.0,Fell,1919,5.0,48.0,7.0
145,149,Burnwell,5175,H4-an,1504.0,Fell,1990,37.62194,-82.23722,1.0
146,150,Bursa,5177,L6,25000.0,Fell,1946,40.2,29.23333,3.0
147,151,Buschhof,5178,L6,5000.0,Fell,1863,46.45,25.78333,1.0
